
> minecraft-pvp@0.1.0 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.100:3000
- Environments: .env
✓ Ready in 761ms

○ Compiling / ...
 GET /api/players 200 in 12ms (next.js: 5ms, application-code: 7ms)
 GET /api/players 200 in 13ms (next.js: 3ms, application-code: 10ms)
 GET /admin/announcements 200 in 24ms (next.js: 4ms, application-code: 20ms)
 GET /api/announcements 200 in 10ms (next.js: 4ms, application-code: 6ms)
 GET /api/announcements 200 in 11ms (next.js: 4ms, application-code: 8ms)
 GET /admin/settings 200 in 422ms (next.js: 382ms, application-code: 40ms)
 GET /api/auth/me 200 in 180ms (next.js: 170ms, application-code: 10ms)
 GET /api/auth/me 200 in 18ms (next.js: 4ms, application-code: 14ms)
 GET /admin 200 in 25ms (next.js: 3ms, application-code: 22ms)
 GET /api/players 200 in 13ms (next.js: 7ms, application-code: 5ms)
 GET /api/announcements 200 in 8ms (next.js: 1996µs, application-code: 6ms)
 GET /api/players 200 in 9ms (next.js: 3ms, application-code: 6ms)
 GET /api/announcements 200 in 11ms (next.js: 3ms, application-code: 7ms)
 GET /admin/settings 200 in 45ms (next.js: 6ms, application-code: 39ms)
 GET /api/auth/me 200 in 43ms (next.js: 9ms, application-code: 34ms)
 GET /api/auth/me 200 in 25ms (next.js: 3ms, application-code: 22ms)
 GET /admin 200 in 24ms (next.js: 4ms, application-code: 21ms)
 GET /api/players 200 in 21ms (next.js: 10ms, application-code: 11ms)
 GET /api/announcements 200 in 12ms (next.js: 4ms, application-code: 8ms)
 GET /api/players 200 in 22ms (next.js: 14ms, application-code: 7ms)
 GET /api/announcements 200 in 11ms (next.js: 3ms, application-code: 9ms)
